Dataset,Feature,Entropy
CICIoT2023,rate,2.829638244591374
CICIoT2023,header_length,1.9088256390236138
CICIoT2023,protocol_type,1.3276844654397066
CICIoT2023,tcp,1.2521102926033767
CICIoT2023,ack_flag_number,0.9930006416821274
CICIoT2023,ack_count,0.9862312090291235
CICIoT2023,udp,0.9122701884147533
CICIoT2023,syn_flag_number,0.8949694419039096
CICIoT2023,syn_count,0.855206584189806
CICIoT2023,icmp,0.8463718776508765
CICIoT2023,psh_flag_number,0.8318225466875806
CICIoT2023,rst_flag_number,0.7070722696374082
CICIoT2023,rst_count,0.7027411887534526
CICIoT2023,time_to_live,0.6589620847713683
CICIoT2023,arp,0.5706666638145684
CICIoT2023,fin_flag_number,0.5529354448089991
CICIoT2023,fin_count,0.5243954885205792
CICIoT2023,tot_sum,0.5149558645058164
CICIoT2023,https,0.5090673152870403
CICIoT2023,max,0.46276122839162587
CICIoT2023,std,0.45317962521172017
CICIoT2023,avg,0.43626634283261406
CICIoT2023,tot_size,0.43626634283261406
CICIoT2023,dns,0.37965091746212504
CICIoT2023,http,0.3535687659759633
CICIoT2023,variance,0.3398238232622817
CICIoT2023,iat,0.3021352750995767
CICIoT2023,ipv,0.21379269016003852
CICIoT2023,llc,0.21379269016003852
CICIoT2023,number,0.20922954877926925
CICIoT2023,min,0.09576849097465745
CICIoT2023,dhcp,0.04904173369943529
CICIoT2023,ssh,0.029184566640447763
CICIoT2023,irc,0.012151119459568377
CICIoT2023,ece_flag_number,0.0
CICIoT2023,smtp,0.0
CICIoT2023,telnet,0.0
CICIoT2023,cwr_flag_number,0.0
CICIoT2023,igmp,0.0
CICDDoS2019,destination_port,4.32171457193924
CICDDoS2019,flow_bytes/s,1.7413586891047446
CICDDoS2019,fwd_packets/s,1.3723257656511667
CICDDoS2019,flow_packets/s,1.3019574280106303
CICDDoS2019,average_packet_size,0.7647687937753679
CICDDoS2019,fwd_packet_length_min,0.7583525795967799
CICDDoS2019,min_packet_length,0.7583525795967799
CICDDoS2019,packet_length_mean,0.7583291822747458
CICDDoS2019,fwd_packet_length_mean,0.7582962556439921
CICDDoS2019,avg_fwd_segment_size,0.7582962556439921
CICDDoS2019,max_packet_length,0.7580998217501907
