feature,importance
min_packet_length,0.12919630868529808
fwd_packet_length_min,0.10428324904741146
fwd_packet_length_mean,0.099062896149628
flow_bytes/s,0.06649942381674008
packet_length_mean,0.06601063031269429
avg_fwd_segment_size,0.06534335166999267
subflow_fwd_bytes,0.055806902086706446
fwd_packet_length_max,0.05172460299752095
average_packet_size,0.04763332477322226
total_length_of_fwd_packets,0.04213112518635656
max_packet_length,0.037002276519259
destination_port,0.028293847340827516
subflow_bwd_packets,0.023764994225882935
source_port,0.02202556024725532
inbound,0.019936173084505657
total_backward_packets,0.018435488465173535
protocol,0.018175495319113333
init_win_bytes_forward,0.012550219362475893
bwd_iat_mean,0.011602464512077384
flow_duration,0.007653520608094869
total_length_of_bwd_packets,0.006538650566979691
packet_length_variance,0.006177639813779655
bwd_iat_min,0.00611448064176784
act_data_pkt_fwd,0.005230381115056015
bwd_iat_max,0.004893542419453504
bwd_iat_total,0.004586637803898454
bwd_header_length,0.004574728730450803
flow_iat_mean,0.0034980371329091167
urg_flag_count,0.0031937588149195655
bwd_packets/s,0.003181093552540637
down/up_ratio,0.002286305113977741
packet_length_std,0.0018537564086753746
fwd_packet_length_std,0.001852869150558518
bwd_iat_std,0.0017161514681361897
init_win_bytes_backward,0.0016101876258690464
min_seg_size_forward,0.0014643849523866756
flow_packets/s,0.0013968846682694725
subflow_fwd_packets,0.0011265921907645813
fwd_packets/s,0.001076896432934428
fwd_header_length_1,0.0009968144729316706
avg_bwd_segment_size,0.0009539636416638557
flow_iat_max,0.0009499030503321096
flow_iat_std,0.0008335170121458786
fwd_psh_flags,0.0008250246098205288
fwd_header_length,0.000770674230078998
bwd_packet_length_max,0.0007517767340417294
fwd_iat_total,0.0005770919046557693
fwd_iat_mean,0.000567939983730755
total_fwd_packets,0.0005505550615920707
fwd_iat_max,0.0004679915764733864
bwd_packet_length_std,0.00043818364219921495
flow_iat_min,0.00033725697104021544
fwd_iat_std,0.00022755422179053988
subflow_bwd_bytes,0.00020097574238465307
cwe_flag_count,0.00019578683373032063
fwd_iat_min,0.00015946964023730022
bwd_packet_length_min,0.0001232916074665782
ack_flag_count,0.00011214522298944567
rst_flag_count,9.645359589854553e-05
idle_mean,9.400770315851101e-05
bwd_packet_length_mean,8.931633711179312e-05
active_mean,5.9295273530105264e-05
idle_min,2.4491117950355676e-05
active_std,2.1691617442244234e-05
idle_max,1.939032457445939e-05
active_max,1.8888421096578908e-05
active_min,1.723599458128437e-05
idle_std,1.4480441787598543e-05
psh_flag_count,0.0
syn_flag_count,0.0
fwd_urg_flags,0.0
bwd_psh_flags,0.0
fin_flag_count,0.0
bwd_urg_flags,0.0
bwd_avg_packets/bulk,0.0
bwd_avg_bulk_rate,0.0
fwd_avg_bulk_rate,0.0
bwd_avg_bytes/bulk,0.0
fwd_avg_packets/bulk,0.0
fwd_avg_bytes/bulk,0.0
ece_flag_count,0.0
simillarhttp,0.0
