feature,importance
ack_count,0.2000800619256735
number,0.1667398609297984
tot_sum,0.1330162890757024
header_length,0.11311702992164985
https,0.10443182157727371
tcp,0.04458661928167917
ack_flag_number,0.03533845252488776
psh_flag_number,0.034784759700328724
time_to_live,0.030569943020986076
rate,0.025303024410276546
variance,0.02272297100778153
std,0.015323360312804218
iat,0.014665044627487054
tot_size,0.01458036372708501
avg,0.010812128334959217
max,0.00941313355032532
udp,0.0069493419039381235
rst_count,0.0046986622829459455
http,0.003356230377468205
dns,0.00316598410590885
rst_flag_number,0.0012570456528891163
ipv,0.001145180006376273
arp,0.0011188221655901304
syn_count,0.0008580905369581582
llc,0.0005881413310652391
min,0.0004184504486929742
fin_count,0.0003795515264875791
protocol_type,0.0002512959706400076
syn_flag_number,0.00016416655957792015
dhcp,7.113028082742336e-05
fin_flag_number,4.9749807618530755e-05
igmp,2.5218703144597074e-05
icmp,1.6957600031170008e-05
ece_flag_number,7.645021634755887e-07
cwr_flag_number,3.523089773217454e-07
ssh,3.2996000591981166e-16
irc,0.0
telnet,0.0
smtp,0.0
