,mean,std,min,max,skew
attack,1.0,0.0,1.0,1.0,0.0
dport,80.0,0.0,80.0,80.0,0.0
drate,0.011984493498999998,0.03540326707792995,0.0,0.590970055000001,9.287348466324271
max,0.07149428847400127,0.17927661645548326,0.0,3.331929754001283,11.762849924594262
mean,0.043103380305,0.09791545383228517,0.0,1.840003753000014,9.635808674497794
min,0.028372151571999998,0.05877572081735298,0.0,0.2492909999999999,1.994257108610363
n_in_conn_p_dstip,81.4974,24.39623278181891,4.0,100.0,-1.1635312609777908
n_in_conn_p_srcip,81.405028,24.44728620927951,4.0,100.0,-1.1575686860671024
pkseqid,125000.5,72168.49382347535,250.999,249750.00100000002,4.3589534005295974e-17
seq,123532.2584,72153.50420590385,133.999,248273.00100000002,0.0007026600977028247
sport,31971.816304,18416.02514715053,78.0,65452.0,0.04781894924151315
srate,0.8475491190600001,2.0818695792757005,0.071185,13.209341,2.876291703521441
state_number,2.172392,0.9850019691612382,1.0,3.0,-0.3500265164832523
stddev,0.018245824676,0.06820223892231012,0.0,1.248361,12.878486757599893
