,mean,std,min,max,skew
ack_flag_count,0.00198,0.044453205782598176,0.0,1.0,22.406662260872604
act_data_pkt_fwd,9.518356,39.13571450061774,0.0,199.0,4.425844732224238
active_max,31.686836000001176,940.7109684940307,0.0,28442.064000001177,29.81691241612897
active_mean,31.185051275758017,925.948280902663,0.0,27988.52400000044,29.807028809602958
active_min,28.83790100000031,864.138661341294,0.0,26418.017000000313,30.08872547114239
active_std,0.0,0.0,0.0,0.0,0.0
average_packet_size,1985.468297835893,568.1814698560369,0.0,2208.0,-2.4186436698802076
avg_bwd_segment_size,0.4891137870678132,8.054865287413845,0.0,185.2864285714417,18.815886821664204
avg_fwd_segment_size,1330.6999877208602,361.8438855277841,0.0,1472.0,-2.454702716517244
bwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0
bwd_avg_bytes/bulk,0.0,0.0,0.0,0.0,0.0
bwd_avg_packets/bulk,0.0,0.0,0.0,0.0,0.0
bwd_header_length,1.010672,16.856139493554576,0.0,440.0,22.3409059428011
bwd_iat_max,7044.527285,177677.64790335266,0.0,5005034.001,26.753150494986667
bwd_iat_mean,1137.6405241474274,28952.954322247027,0.0,834340.050500001,27.253498901036547
bwd_iat_min,0.012968,0.16854656510228386,0.0,3.0,14.667623608345068
bwd_iat_std,2400.988641390644,61355.88295184726,0.0,1754690.4200580362,27.313059570821988
bwd_iat_total,15654.91741900021,396252.5084536867,0.0,11152728.339000208,26.65771413519006
bwd_packet_length_max,1.622288,36.123160121670495,0.0,976.0,25.94320307141826
bwd_packet_length_mean,0.4891137870678132,8.054865287413845,0.0,185.2864285714417,18.815886821664204
bwd_packet_length_min,0.215036,4.167470334620265,0.0,95.0,20.25598208557492
bwd_packet_length_std,0.4296293397551971,11.153387761765398,0.0,307.95352687157794,26.64302253634552
bwd_packets/s,14.26749067317213,354.8962659669891,0.0,10101.010101010104,26.730581773611608
bwd_psh_flags,0.0,0.0,0.0,0.0,0.0
bwd_urg_flags,0.0,0.0,0.0,0.0,0.0
cwe_flag_count,0.002908,0.05384751743785905,0.0,1.0,18.46309729474425
destination_port,32668.547196999996,19084.362456237068,22.0,65473.00100000002,-0.007282525148017234
down/up_ratio,0.008404,0.11163074231451886,0.0,2.0,14.717706758811914
ece_flag_count,0.0,0.0,0.0,0.0,0.0
fin_flag_count,0.0,0.0,0.0,0.0,0.0
flow_bytes/s,2104593418.4853475,1192641278.0146234,0.0,2944000000.0,-0.9041223359331612
flow_duration,45249.97098900467,979068.9593675609,0.0,28144688.92100467,26.485123969477655
flow_iat_max,19328.554173,383498.70109387126,0.0,10009899.061,24.279451326202516
flow_iat_mean,2147.522189502258,47519.81335934545,0.0,1312008.6110003607,25.63160322733904
flow_iat_min,9.182248,29.421758618852426,0.0,266.0,5.997026866284826
flow_iat_std,5203.85293748962,116895.11630242995,0.0,3285796.4395748926,26.08502620020706
flow_packets/s,1506030.5945830487,779281.261929181,0.7341839865215293,2000000.0,-1.1181792400386128
fwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0
fwd_avg_bytes/bulk,0.0,0.0,0.0,0.0,0.0
fwd_avg_packets/bulk,0.0,0.0,0.0,0.0,0.0
fwd_header_length,-805465996.657508,11106702554.31982,-212543795000.0,76560.0,-16.635259382340625
fwd_header_length_1,-805465996.657508,11106702554.31982,-212543795000.0,76560.0,-16.635259382340625
fwd_iat_max,17651.634781,372289.47788884206,0.0,10031933.001,25.56390939983242
fwd_iat_mean,2965.9645673133396,73041.58412041243,0.0,2099989.154481565,27.251285660570158
fwd_iat_min,9.055228,28.93459546479395,0.0,261.0,6.0291661743879414
fwd_iat_std,5654.946030753439,138993.85677876516,0.0,4037518.5801720307,27.574539454148827
fwd_iat_total,39670.280735000575,888931.6869820453,0.0,25689591.115000572,26.9772878585094
fwd_packet_length_max,1331.650188,359.6937411325283,0.0,1472.0,-2.458854846245763
fwd_packet_length_mean,1330.6999877208602,361.8438855277841,0.0,1472.0,-2.454702716517244
fwd_packet_length_min,1326.845692,372.6488012130957,0.0,1472.0,-2.456397251972883
fwd_packet_length_std,0.6648281745008592,7.151359902545825,0.0,167.3855221815216,18.46979414855132
fwd_packets/s,1416000.0119983167,830843.610855489,0.0,2000000.0,-0.8739077886077988
fwd_psh_flags,0.00106,0.03254044614817908,0.0,1.0,30.66608179125119
fwd_urg_flags,0.0,0.0,0.0,0.0,0.0
idle_max,12152.628559000144,342799.25332887727,0.0,9960725.007000146,28.42200584908158
