,mean,std,min,max,skew
ack_count,48.01228,6.063615775372404,3.0,93.0,-1.8277222152465753
ack_flag_number,0.48242050188468705,0.05494977645432382,0.09,0.94,-0.9290949016036028
arp,0.011227074257827284,0.019201965683424724,0.0,0.19000047619048496,3.714731379147135
avg,889.4238217719713,106.87667880150337,80.88993,1082.890600000011,-4.170875260179371
cwr_flag_number,2.6120000000000004e-05,0.0005104104110175955,0.0,0.01,19.489883764094543
dhcp,0.0003574154006524992,0.002669161407992161,0.0,0.04,9.855740053445981
dns,0.005064702492430891,0.012270731732030589,0.0,0.13,4.293176086822719
ece_flag_number,5.8240000000000005e-05,0.0007609273411053608,0.0,0.01,12.988886763399968
fin_count,0.098088,0.4063636361457791,0.0,5.0,6.005136609815762
fin_flag_number,0.0009839063204082114,0.004080386877936354,0.0,0.05,6.013326092299078
header_length,10.445048110733081,1.7554604887401017,8.4,30.160040000000738,6.532907851615625
http,0.002443430778173196,0.030151939885378447,0.0,0.49,14.993280701022902
https,0.03606932391917495,0.12423681851801865,0.0,0.91,4.021527372848919
iat,0.0007581385921791718,0.0009099552851552813,5.0418338225438045e-05,0.011361956076622094,5.660206065535459
icmp,0.0020591740552461054,0.0070276642284603065,0.0,0.08,5.42448960464319
igmp,4.128000000000001e-05,0.0006411689371689992,0.0,0.01,15.467872451750827
ipv,0.988772925742173,0.01920196568342465,0.8099995238095239,1.0,-3.714731379147106
irc,0.0,0.0,0.0,0.0,0.0
llc,0.988772925742173,0.01920196568342465,0.8099995238095239,1.0,-3.714731379147106
max,1557.561236,403.65586397620734,344.0,8754.0,11.533158310610872
min,127.886956,122.54448402786771,60.0,374.0,1.4315476957147484
number,99.55760699999999,5.355751597194524,11.998999999999995,100.0,-13.42161466807552
protocol_type,6.036432,0.632001825219855,6.0,17.0,17.289860537959804
psh_flag_number,0.005384925439919887,0.023381496951780534,0.0,0.34,9.466414247601591
rate,2425.1175834634028,1861.3446458888236,88.87723315160125,20357.88256086012,2.609238866092676
rst_count,2.2133,8.377791824793896,0.0,78.0,5.0495164702052024
rst_flag_number,0.022184729033236986,0.0839277099473791,0.0,0.78,5.045019038062765
smtp,0.0,0.0,0.0,0.0,0.0
ssh,0.0,0.0,0.0,0.0,0.0
std,585.6249719845622,48.634219762505495,50.126021761866106,1307.4562767204918,2.9712033143094856
syn_count,0.426184,0.9678320850952296,0.0,10.0,3.9836919472322587
syn_flag_number,0.004274608787441659,0.009712008457981215,0.0,0.1,3.9803428632053723
tcp,0.5061355153155713,0.05521695459314884,0.23,0.97,3.730223347533776
telnet,0.0,0.0,0.0,0.0,0.0
time_to_live,65.3715570150751,5.772139399838231,55.219989999999996,141.49005000000093,8.081967000850481
tot_size,889.4238217719713,106.87667880150337,80.88993,1082.890600000011,-4.170875260179371
tot_sum,88529.15731999998,11670.477622918384,7284.977,104617.06300000116,-4.041271089371047
udp,0.014283168612940626,0.04611979091243322,0.0,0.72,10.012993854074908
variance,345321.8856828248,68459.49140603539,2512.618082424248,1709441.9156583003,12.996048573591992
