,mean,std,min,max,skew
dns_qclass,279.01244,3010.0329151316596,0.0,32769.0,10.701360152935319
dns_qtype,5.029225,27.764522420580214,0.0,255.0,8.339754596314917
dns_rcode,0.0,0.0,0.0,0.0,0.0
dst_bytes,107.15724,1082.2328888486575,0.0,28022.0,21.635647949705167
dst_ip_bytes,78.33381,472.68445792501757,0.0,11391.0,17.036095915953315
dst_pkts,0.3158910000000184,1.481198111955054,0.0,27.001000000018394,11.266505152978716
dst_port,11974.92021,14098.118540750234,0.0,51782.0,1.5211269175474116
duration,6.214228969036267,85.08197404990543,0.0,2117.2460896812663,20.34405380412614
http_request_body_len,0.0,0.0,0.0,0.0,0.0
http_response_body_len,0.00236,0.06866188150837305,0.0,2.0,29.059791388853967
http_trans_depth,1.0,0.0,1.0,1.0,0.0
http_version,1.1000000000000005,4.440903200772506e-16,1.1,1.1,0.0
missed_bytes,31.347753000020095,594.0478520417382,0.0,16205.093000020104,23.869087829437046
src_bytes,54.136926000000294,327.8957399991832,0.0,6659.016000000294,14.334904557813111
src_ip_bytes,97.606435,543.8489934993255,0.0,12384.0,16.212382329263345
src_pkts,0.9507310000000184,5.243181478969018,0.0,127.0010000000184,18.619908012313626
src_port,35330.55136099999,19347.196560422668,68.0,65128.00100000002,-0.8160403918685194
